Location_Name,Wheel Chair Switch,Passable,Located,Remark
Crystal Design Center (CDC),FALSE,TRUE,Soi 1,Crystal life
,FALSE,TRUE,L5,Button for wheelchair user
The Commons Thonglor,TRUE,TRUE,Near toilet,Door width is 80 cm.
J Avenue,FALSE,TRUE,Near parking lot,
Market Place Thonglor,FALSE,TRUE,Near handicap parking,
Suanplern Market,FALSE,TRUE,Inside mall,
Tha Maharaj,FALSE,FALSE,In front of parking lot,Door width is 75 cm.
Lido Connect,TRUE,TRUE,In front of Rama I Rd entrance,For wheelchair users only
Centerpoint Siam Square,FALSE,TRUE,Center area near,
Centerpoint Siam Square,FALSE,TRUE,Center area,Cargo lift
Ohkajhu Organic Farm,FALSE,TRUE,Inside restaurant,
