Name,Category,Google Map URL,Lat,Lng,Location Detail,Contact,Image URL,Remarks
Crystal Design Center (CDC),Community Mall,https://goo.gl/maps/FCrf6HN4SwahcW1U9,13.80418647,100.6174945,"888 Pradit Manutham Road, Khlong Chan, Bang Kapi District, Bangkok 10240",21015999,https://lh5.googleusercontent.com/p/AF1QipOBq3ioQwxVgzhyRV3tGFgU_u3aVT9temnrQy48=w408-h306-k-no,
The Commons Thonglor,Community Mall,https://goo.gl/maps/8t4eyscBdFsqX8M39,13.73530906,100.5822129,"335 Akkhara Phatsadu Alley, Khwaeng Khlong Tan Nuea, Khet Watthana, Bangkok 10110",891522677,https://lh5.googleusercontent.com/p/AF1QipMO4c8Yol7SeJvY8KsDqsX_FPvl5ttOEGx5pkGP=w426-h240-k-no,No handicap parking but have vallet service
J Avenue,Community Mall,https://goo.gl/maps/a6vTbQY18r5KPxcn9,13.7347146,100.5818039,"15 321 Sukhumvit 55 Rd, Khlong Tan Nuea, Watthana, Bangkok 10110",918184189,https://lh5.googleusercontent.com/p/AF1QipPwB6I8BIvA4qTrQQXdMzjhHXg1UmNv_hKs9T9_=w408-h281-k-no,"In 2nd and 4th floor, wheelchair user has to use stairs."
The Twenty Six,Community Mall,https://goo.gl/maps/AHNFaqq8StyrwXbv8,13.7257425,100.5691809,"34, 1 Soi Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok 10110",984466549,https://lh5.googleusercontent.com/p/AF1QipOst5r37IcW1_JsBA3Nnal5zjoiuFptHDQbfrf5=w426-h240-k-no,"Very steep stairs. Wheelchair can't enter to this community mall.
"
Market Place Thonglor,Community Mall,https://goo.gl/maps/kdC67DJcjzyrWFrv5,13.72838441,100.5810344,"148 Sukhumvit Rd, Khlong Tan Nuea, Watthana, Bangkok 10110",23922104,https://lh5.googleusercontent.com/p/AF1QipNTBuHkyAewR96kFnCdSVJzF_uT1pWYJPC2jB9y=w425-h240-k-no,
Suanplern Market,Community Mall,https://goo.gl/maps/URUGXN79UNe2Y29P7,13.71646092,100.5715301,"3654 Rama IV Rd, Khlong Tan Nuea, Khlong Toey, Bangkok 10110",22498852,https://ed.edtfiles-media.com/static-cache/resize-cache/790x528/ud/images/1/149/446856/DSC07237.jpg,
Tha Maharaj,Community Mall,https://goo.gl/maps/chqyf5CeGLPgtXi7A,13.75478251,100.4887319,"1 11 Trok Sathien, Barumaharatchawang, Phra Nakhon, Bangkok 10200",20241393,"https://static.wixstatic.com/media/94d81e_9a8cb73a53c6419ab59543d8332a5c45~mv2.jpg/v1/fill/w_640,h_840,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/94d81e_9a8cb73a53c6419ab59543d8332a5c45~mv2.jpg",
Lido Connect,Community Mall,https://goo.gl/maps/JjpCs6peJCX12VZm7,13.74574547,100.5325632,"256 Rama I Rd, Pathum Wan, Bangkok 10330",969217679,https://digitalmarketingwow.com/wp-content/uploads/2019/08/shutterstock_1452067217.jpg,
Centerpoint Siam Square,Community Mall,https://goo.gl/maps/MwonxsCDyTrm63ao8,13.74520003,100.5331934,"292 Rama I Rd, Pathum Wan, Bangkok 10330",26234100,https://cdn-images.prod.thinkofliving.com/wp-content/uploads/1/2015/06/Siam-Square-20.jpg,
Ohkajhu Organic Farm,Restaurant,https://goo.gl/maps/ADw9Ymj9VvvihQ5N8,13.74494002,100.5318323,"226/1 Siam Square Soi 2, Pathum Wan, Bangkok 10330",623094545,https://st-th-1.byteark.com/assets.punpro.com/contents/i5949/1565269227616-882019_190808_0072.jpg,
Hint,Cafe,https://goo.gl/maps/Rn5zqNsXPR2wLndRA,13.72285712,100.5059413,"178 Thanon Krung Thon Buri, Khlong Ton Sai, Khlong San, Bangkok 10600",809378762,https://www.bkkmenu.com/files/2020/10/Hint-11.jpg,
Krua Khun Kung,Restaurant,https://goo.gl/maps/hqX8GggVeow5CMDT9,13.75218767,100.4886074,"77 Maha Rat Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200",22220081,https://www.kruakhunkung.com/img/webclip.png,
