Location_Name,Slope,Level,Handrail,Located,Floor,Remark
Crystal Design Center (CDC),Low,1,FALSE,Zone i j1,1,
Crystal Design Center (CDC),Medium,1,FALSE,Zone j1 j2,1,
Crystal Design Center (CDC),Low,1,FALSE,Zone j2 k5,1,
J Avenue,Low,1,FALSE,Zone starbucks,1,
The Commons Thonglor,Low,1,FALSE,Near lift,3,Rough surface
The Commons Thonglor,Low,1,FALSE,Bun sik,1,Disconnect
The Commons Thonglor,Low,1,FALSE,Bar naan,1,Disconnect
The Commons Thonglor,Medium,2,FALSE,Front,M,Rough surface
The Commons Thonglor,Medium,1,FALSE,Parking,P,
Market Place Thonglor,Low,1,FALSE,Parking 2nd floor,2,Sligtly Slope
Market Place Thonglor,Low,1,FALSE,Villa Market,G,
Market Place Thonglor,Medium,1,FALSE,KOF,G,May have an obstacle
Tha Maharaj,Medium,1,FALSE,At the entrance,,
Tha Maharaj,Medium,1,FALSE,Starbuck,1,
Tha Maharaj,Medium,1,FALSE,The Coffee Club,1,
Tha Maharaj,Medium,1,FALSE,Rosniyom,1,
Lido Connect,Low,1,FALSE,Siam Soi 2 Entrance,1,
Lido Connect,Low,1,FALSE,Siam Soi 3 Entrance,1,
Lido Connect,Low,1,FALSE,Siam Soi 7 Entrance,1,
Centerpoint Siam Square,Low,1,FALSE,At Rama 1 road entrance,1,
Centerpoint Siam Square,Low,3,FALSE,Walk way,2,
Centerpoint Siam Square,Low,3,FALSE,Walk way,3,
Ohkajhu Organic Farm,Low,1,FALSE,Front,1,
Hint,Low,1,FALSE,Front,1,
Krua Khun Kung,Medium,1,FALSE,Front,1,
