Location_Name,Type,Door Type,Handrail,Located,Floor,Remark
Crystal Design Center (CDC),Isolated,Slide,TRUE,Zone I J1,1,Near parking
The Commons Thonglor,Isolated,Slide,TRUE,Near lift,3,
The Commons Thonglor,Isolated,Slide,TRUE,Near lift,1,
Market Place Thonglor,Isolated,Slide,TRUE,,1,
Market Place Thonglor,Isolated,Slide,TRUE,,2,
Market Place Thonglor,Isolated,Slide,TRUE,,3,
Market Place Thonglor,Isolated,Slide,TRUE,,4,
Suanplern Market,Isolated,Slide,TRUE,,2,
Suanplern Market,Isolated,Slide,TRUE,,3,
Tha Maharaj,Isolated,Slide,FALSE,Near Subway,1,Temporary out of service
Lido Connect,Isolated,Slide,TRUE,Center,1,
Lido Connect,Isolated,Slide,TRUE,Inside of the women's toilet,2,
Centerpoint Siam Square,Isolated,Push pull,TRUE,Between the ramp,4,
Krua Khun Kung,Isolated,Slide,TRUE,,1,
