Location_Name,Restaurant _Name,Category,Level,Door Type,Located,Floor,Remark
The Commons Thonglhor,Roots,Coffee shop,0,no door,Market zone,M,
The Commons Thonglhor,Seven Suns,Tea,0,no door,Market zone,M,
The Commons Thonglhor,Guss Damn Good,Ice Cream,0,no door,Market zone,M,
The Commons Thonglhor,Dolly Churro,Bakery and Pastries,0,no door,Market zone,M,
The Commons Thonglhor,Hunter Poke,Healthy,0,no door,Market zone,M,
The Commons Thonglhor,EastBound,Noodles,0,no door,Market zone,M,
The Commons Thonglhor,The Lobster Lab,Seafood,0,no door,Market zone,M,
The Commons Thonglhor,Fowlmouth,Fried Chicken,0,no door,Market zone,M,
The Commons Thonglhor,Sourced Grocer,Healthy,0,no door,Market zone,M,
The Commons Thonglhor,The Beer Cap,Bar,0,no door,Market zone,M,
The Commons Thonglhor,Bun Meat & Cheese,Burger,0,no door,Market zone,M,
The Commons Thonglhor,Cholos,Mexican,0,no door,Market zone,M,
The Commons Thonglhor,Vivi,Italian,0,no door,Market zone,M,
